SU
Andor
Scan Type: One Motor From File
C:\Beamline Controls\BCS Setup Data\ScanFiles\Zakaria Long Pickle RIXS\CoL3.txt
X Motor: BL 8 Energy
Delay After Move (s): 0.10000000
Stay at End: 0
Curvature: 0.0
Clip to ROI: No
ROI: 1309 526 2539 1627
Background ROI: None
Data File Path: C:\Beamline Controls\BCS Setup Data\240328\CCD Scan 16492
Time	Frame #	BL 8 Energy	Izero	Izero 2	TFY	TEY	Sample Current	Beam Current	Total Flux	Counts	Background	Filename
21:15:53	1.00000000	774.99847929	28703285.00000000	1179244.00000000	10529775.00000000	222119.00000000	0.00000000	0.00000000	0.00000000	343591.00000000	331.00000000	CoL3_16492-00001
21:20:00	2.00000000	776.00981985	28728565.00000000	1178408.00000000	10614053.00000000	218252.00000000	0.00000000	0.00000000	0.00000000	359384.00000000	331.00000000	CoL3_16492-00002
21:24:07	3.00000000	777.01026636	28707485.00000000	1176982.00000000	10942654.00000000	228221.00000000	0.00000000	0.00000000	0.00000000	383671.00000000	330.00000000	CoL3_16492-00003
21:28:14	4.00000000	777.21337412	28561243.00000000	1169895.00000000	11036807.00000000	230144.00000000	0.00000000	0.00000000	0.00000000	355725.00000000	332.00000000	CoL3_16492-00004
21:32:20	5.00000000	777.41207108	28576438.00000000	1170538.00000000	11198774.00000000	232111.00000000	0.00000000	0.00000000	0.00000000	364923.00000000	332.00000000	CoL3_16492-00005
21:36:27	6.00000000	777.61086966	28491283.00000000	1166935.00000000	11310022.00000000	237136.00000000	0.00000000	0.00000000	0.00000000	359049.00000000	331.00000000	CoL3_16492-00006
21:40:33	7.00000000	777.80976996	28393950.00000000	1161860.00000000	11450441.00000000	243759.00000000	0.00000000	0.00000000	0.00000000	419377.00000000	330.00000000	CoL3_16492-00007
21:44:40	8.00000000	778.01329600	28403152.00000000	1162134.00000000	11733629.00000000	264030.00000000	0.00000000	0.00000000	0.00000000	350628.00000000	333.00000000	CoL3_16492-00008
21:48:45	9.00000000	778.21240225	28289462.00000000	1158356.00000000	11970389.00000000	289244.00000000	0.00000000	0.00000000	0.00000000	349347.00000000	334.00000000	CoL3_16492-00009
21:52:52	10.00000000	778.40708186	28248359.00000000	1156126.00000000	12054358.00000000	287245.00000000	0.00000000	0.00000000	0.00000000	368449.00000000	335.00000000	CoL3_16492-00010
21:56:59	11.00000000	778.61092068	28157692.00000000	1151645.00000000	12045373.00000000	279001.00000000	0.00000000	0.00000000	0.00000000	356053.00000000	335.00000000	CoL3_16492-00011
22:01:05	12.00000000	778.80579977	28131680.00000000	1150063.00000000	12214711.00000000	289398.00000000	0.00000000	0.00000000	0.00000000	347024.00000000	339.00000000	CoL3_16492-00012
22:05:13	13.00000000	779.00984750	28031028.00000000	1144621.00000000	12470778.00000000	308591.00000000	0.00000000	0.00000000	0.00000000	396180.00000000	338.00000000	CoL3_16492-00013
22:09:20	14.00000000	779.20492638	27987022.00000000	1143708.00000000	12984892.00000000	319749.00000000	0.00000000	0.00000000	0.00000000	358980.00000000	342.00000000	CoL3_16492-00014
22:13:27	15.00000000	779.41826392	28115366.00000000	1148138.00000000	13562640.00000000	341701.00000000	0.00000000	0.00000000	0.00000000	417218.00000000	338.00000000	CoL3_16492-00015
22:17:33	16.00000000	779.60446232	28208005.00000000	1151068.00000000	13758620.00000000	341907.00000000	0.00000000	0.00000000	0.00000000	404189.00000000	342.00000000	CoL3_16492-00016
22:21:41	17.00000000	779.80438399	28180495.00000000	1149293.00000000	13808906.00000000	332098.00000000	0.00000000	0.00000000	0.00000000	422526.00000000	339.00000000	CoL3_16492-00017
22:25:48	18.00000000	780.01350268	28151012.00000000	1148313.00000000	14215841.00000000	389823.00000000	0.00000000	0.00000000	0.00000000	388061.00000000	339.00000000	CoL3_16492-00018
22:29:54	19.00000000	780.20908465	28121978.00000000	1146933.00000000	14252997.00000000	404095.00000000	0.00000000	0.00000000	0.00000000	354684.00000000	342.00000000	CoL3_16492-00019
22:34:01	20.00000000	780.40476474	28062102.00000000	1143525.00000000	13994646.00000000	387052.00000000	0.00000000	0.00000000	0.00000000	366599.00000000	341.00000000	CoL3_16492-00020
22:38:07	21.00000000	780.60054301	28055754.00000000	1142634.00000000	14013232.00000000	395674.00000000	0.00000000	0.00000000	0.00000000	357701.00000000	341.50000000	CoL3_16492-00021
22:42:14	22.00000000	780.80553247	28024971.00000000	1141932.00000000	13970316.00000000	453410.00000000	0.00000000	0.00000000	0.00000000	396846.00000000	338.00000000	CoL3_16492-00022
22:46:20	23.00000000	781.01062964	28039031.00000000	1141614.00000000	13537878.00000000	379885.00000000	0.00000000	0.00000000	0.00000000	420955.00000000	335.00000000	CoL3_16492-00023
22:50:26	24.00000000	781.21583458	28001401.00000000	1140659.00000000	12947809.00000000	354548.00000000	0.00000000	0.00000000	0.00000000	386982.00000000	335.00000000	CoL3_16492-00024
22:54:32	25.00000000	781.40745652	28006539.00000000	1139490.00000000	12504763.00000000	326799.00000000	0.00000000	0.00000000	0.00000000	398056.00000000	335.00000000	CoL3_16492-00025
22:58:39	26.00000000	781.60373830	28008407.00000000	1139275.00000000	12132690.00000000	312383.00000000	0.00000000	0.00000000	0.00000000	383207.00000000	334.00000000	CoL3_16492-00026
23:02:45	27.00000000	781.80468689	28013948.00000000	1138787.00000000	11829716.00000000	293943.00000000	0.00000000	0.00000000	0.00000000	376388.00000000	333.00000000	CoL3_16492-00027
