channelsToEnergies	channelsToEnergies_intrp
489.38904	489.64343
489.4978	489.75226
489.60666	489.86108
489.71552	489.97
489.82446	490.07898
489.93344	490.18796
490.04245	490.297
490.15152	490.4061
490.26065	490.51526
490.36981	490.62445
490.47903	490.7337
490.58832	490.84299
490.69763	490.95233
490.80701	491.06171
490.91641	491.17114
491.02588	491.28064
491.13538	491.39017
491.24493	491.49976
491.35455	491.60938
491.4642	491.71906
491.57391	491.8288
491.68369	491.9386
491.79349	492.0484
491.90332	492.15829
492.01324	492.26825
492.1232	492.3782
492.23318	492.48822
492.34323	492.5983
492.45334	492.70844
492.56348	492.8186
492.67368	492.92883
492.78394	493.03909
492.89423	493.14941
493.00458	493.25977
493.11496	493.37021
493.22543	493.48068
493.33591	493.59119
493.44647	493.70178
493.55704	493.81238
493.66769	493.92303
493.77838	494.03375
493.88913	494.14453
493.99991	494.25537
494.11078	494.36621
494.22165	494.47714
494.33261	494.5881
494.44357	494.6991
494.55463	494.81018
494.66571	494.9213
494.77686	495.03247
494.88806	495.14368
494.9993	495.25494
495.1106	495.36627
495.22192	495.47763
495.33331	495.58905
495.44476	495.7005
495.55624	495.81201
495.66779	495.92358
495.77939	496.03522
495.89102	496.14688
496.00272	496.25861
496.11444	496.37036
496.22626	496.48218
496.33807	496.59406
496.44998	496.70596
496.56192	496.81793
496.67392	496.92993
496.78595	497.04202
496.89807	497.15414
497.01019	497.2663
497.12241	497.37854
497.23465	497.49081
497.34695	497.60315
497.45929	497.71552
497.57169	497.82794
497.68414	497.9404
497.79663	498.05292
497.90921	498.16553
498.02179	498.27814
498.13446	498.39081
498.24716	498.50354
498.35992	498.61633
498.47272	498.72916
498.58557	498.84204
498.69849	498.95496
498.81143	499.06796
498.92447	499.181
499.03751	499.29407
499.15063	499.40723
499.26379	499.52042
499.37701	499.63367
499.49026	499.74695
499.60361	499.86029
499.71698	499.97369
499.83038	500.08713
499.94385	500.20062
500.05737	500.31418
500.17096	500.4278
500.28458	500.54144
500.39825	500.65515
500.51199	500.76892
500.62579	500.88272
500.73962	500.99658
500.85352	501.11047
500.96744	501.22443
501.08142	501.33844
501.19547	501.45251
501.30957	501.56665
501.42371	501.68082
501.5379	501.79504
501.65216	501.9093
501.76645	502.02362
501.8808	502.138
501.99521	502.25244
502.10968	502.36694
502.22418	502.48148
502.33875	502.59607
502.45337	502.71069
