
Andor
Scan Type: One Motor From File
C:\Beamline Controls\BCS Setup Data\Scan Files\Zakaria\CoL3coarse.txt
X Motor: BL 8 Energy
Delay After Move (s): 0.10000000
Stay at End: 0
Curvature: 0.0
Clip to ROI: No
ROI: 1309 526 2539 1627
Background ROI: None
Data File Path: C:\Beamline Controls\BCS Setup Data\240606\CCD Scan 7006
Time	Frame #	BL 8 Energy	Izero	Izero 2	TFY	TEY	Beam Current	Total Flux	Counts	Background	Filename
20:47:29	1.00000000	772.99261791	2004245.00000000	81525.00000000	255173.00000000	31752.00000000	0.00000000	0.00000000	172474.00000000	313.50000000	CoN7006-00001
20:48:06	2.00000000	773.50205236	2002363.00000000	81037.00000000	253515.00000000	32398.00000000	0.00000000	0.00000000	175612.00000000	314.00000000	CoN7006-00002
20:48:43	3.00000000	774.01663637	2001862.00000000	80799.00000000	252254.00000000	32148.00000000	0.00000000	0.00000000	243957.00000000	313.00000000	CoN7006-00003
20:49:19	4.00000000	774.50052175	2001394.00000000	80872.00000000	251204.00000000	28923.00000000	0.00000000	0.00000000	191264.00000000	314.00000000	CoN7006-00004
20:49:57	5.00000000	775.01194649	2003093.00000000	80723.00000000	244899.00000000	32522.00000000	0.00000000	0.00000000	235030.00000000	313.00000000	CoN7006-00005
20:50:35	6.00000000	775.20951921	1998764.00000000	80211.00000000	244108.00000000	32246.00000000	0.00000000	0.00000000	238323.00000000	313.00000000	CoN7006-00006
20:51:13	7.00000000	775.41168644	2004507.00000000	80439.00000000	245369.00000000	30551.00000000	0.00000000	0.00000000	229293.00000000	313.00000000	CoN7006-00007
20:51:49	8.00000000	775.60496702	1999892.00000000	80355.00000000	243682.00000000	32440.00000000	0.00000000	0.00000000	219286.00000000	313.00000000	CoN7006-00008
20:52:25	9.00000000	775.80734061	1999671.00000000	79985.00000000	240576.00000000	32504.00000000	0.00000000	0.00000000	237906.00000000	313.00000000	CoN7006-00009
20:53:01	10.00000000	776.01432059	2000780.00000000	79905.00000000	242333.00000000	31744.00000000	0.00000000	0.00000000	179925.00000000	314.00000000	CoN7006-00010
20:53:38	11.00000000	776.20339878	1998602.00000000	79710.00000000	242648.00000000	30860.00000000	0.00000000	0.00000000	175370.00000000	314.00000000	CoN7006-00011
20:54:15	12.00000000	776.41059019	1999410.00000000	79742.00000000	241299.00000000	32049.00000000	0.00000000	0.00000000	218049.00000000	314.00000000	CoN7006-00012
20:54:52	13.00000000	776.60436917	1996983.00000000	79731.00000000	241561.00000000	32084.00000000	0.00000000	0.00000000	179860.00000000	314.00000000	CoN7006-00013
20:55:29	14.00000000	776.81628478	1998143.00000000	79712.00000000	243240.00000000	29857.00000000	0.00000000	0.00000000	219208.00000000	314.00000000	CoN7006-00014
20:56:05	15.00000000	777.00575406	1996663.00000000	79545.00000000	243284.00000000	32310.00000000	0.00000000	0.00000000	221478.00000000	314.00000000	CoN7006-00015
20:56:43	16.00000000	777.20434485	1992722.00000000	79479.00000000	241577.00000000	32453.00000000	0.00000000	0.00000000	226521.00000000	313.00000000	CoN7006-00016
20:57:18	17.00000000	777.40303719	1994218.00000000	79617.00000000	243865.00000000	31839.00000000	0.00000000	0.00000000	167176.00000000	315.00000000	CoN7006-00017
20:57:56	18.00000000	777.60635039	1996233.00000000	79414.00000000	247962.00000000	32751.00000000	0.00000000	0.00000000	225839.00000000	313.00000000	CoN7006-00018
20:58:33	19.00000000	777.82333505	1995664.00000000	79627.00000000	248281.00000000	33161.00000000	0.00000000	0.00000000	231397.00000000	313.00000000	CoN7006-00019
20:59:09	20.00000000	778.00424813	1995794.00000000	79395.00000000	252401.00000000	33437.00000000	0.00000000	0.00000000	173082.00000000	313.50000000	CoN7006-00020
20:59:46	21.00000000	778.20787598	1992711.00000000	79428.00000000	259229.00000000	30973.00000000	0.00000000	0.00000000	236891.00000000	314.00000000	CoN7006-00021
21:00:22	22.00000000	778.40255332	1991121.00000000	79170.00000000	265918.00000000	36195.00000000	0.00000000	0.00000000	184677.00000000	314.00000000	CoN7006-00022
21:00:59	23.00000000	778.61092068	1989223.00000000	79179.00000000	273883.00000000	38910.00000000	0.00000000	0.00000000	187611.00000000	314.00000000	CoN7006-00023
21:01:37	24.00000000	778.80579977	1989446.00000000	79531.00000000	284943.00000000	40056.00000000	0.00000000	0.00000000	243005.00000000	314.00000000	CoN7006-00024
21:02:14	25.00000000	779.00077644	1990906.00000000	79758.00000000	286480.00000000	42212.00000000	0.00000000	0.00000000	236027.00000000	314.00000000	CoN7006-00025
21:02:50	26.00000000	779.20492638	1988271.00000000	79757.00000000	287720.00000000	45581.00000000	0.00000000	0.00000000	177397.00000000	315.00000000	CoN7006-00026
21:03:26	27.00000000	779.40464314	1988756.00000000	79820.00000000	309550.00000000	50925.00000000	0.00000000	0.00000000	254577.00000000	313.00000000	CoN7006-00027
21:04:03	28.00000000	779.60900486	1988439.00000000	79779.00000000	337053.00000000	49162.00000000	0.00000000	0.00000000	254090.00000000	313.00000000	CoN7006-00028
21:04:41	29.00000000	779.80892886	1986618.00000000	79332.00000000	357556.00000000	57141.00000000	0.00000000	0.00000000	260224.00000000	313.00000000	CoN7006-00029
21:05:17	30.00000000	780.00440823	1986534.00000000	79694.00000000	363463.00000000	64720.00000000	0.00000000	0.00000000	257504.00000000	313.00000000	CoN7006-00030
21:05:54	31.00000000	780.20453512	1988558.00000000	79744.00000000	375470.00000000	60226.00000000	0.00000000	0.00000000	257065.00000000	313.00000000	CoN7006-00031
21:06:30	32.00000000	780.40931661	1985804.00000000	79600.00000000	386708.00000000	55213.00000000	0.00000000	0.00000000	273045.00000000	313.00000000	CoN7006-00032
21:07:07	33.00000000	780.60965137	1987974.00000000	79687.00000000	382080.00000000	60160.00000000	0.00000000	0.00000000	259056.00000000	313.00000000	CoN7006-00033
21:07:44	34.00000000	780.80553247	1987652.00000000	79759.00000000	376752.00000000	58247.00000000	0.00000000	0.00000000	243471.00000000	313.00000000	CoN7006-00034
21:08:20	35.00000000	781.00607075	1986401.00000000	79810.00000000	377801.00000000	52369.00000000	0.00000000	0.00000000	260987.00000000	313.00000000	CoN7006-00035
21:08:56	36.00000000	781.20671207	1985678.00000000	79785.00000000	368202.00000000	56308.00000000	0.00000000	0.00000000	273376.00000000	313.00000000	CoN7006-00036
21:09:32	37.00000000	781.40745652	1986942.00000000	79807.00000000	346657.00000000	56498.00000000	0.00000000	0.00000000	272905.00000000	313.00000000	CoN7006-00037
21:10:11	38.00000000	781.60830417	1986182.00000000	79823.00000000	325913.00000000	51906.00000000	0.00000000	0.00000000	247196.00000000	313.00000000	CoN7006-00038
21:10:47	39.00000000	781.80468689	1985500.00000000	79655.00000000	308889.00000000	42781.00000000	0.00000000	0.00000000	247895.00000000	313.00000000	CoN7006-00039
21:11:24	40.00000000	782.00573884	1985277.00000000	79705.00000000	293885.00000000	45671.00000000	0.00000000	0.00000000	231591.00000000	313.00000000	CoN7006-00040
21:12:01	41.00000000	782.20689422	1984921.00000000	79737.00000000	287852.00000000	44166.00000000	0.00000000	0.00000000	231738.00000000	313.00000000	CoN7006-00041
21:12:39	42.00000000	782.40815313	1985759.00000000	79773.00000000	287537.00000000	38356.00000000	0.00000000	0.00000000	243126.00000000	313.00000000	CoN7006-00042
21:13:17	43.00000000	782.60036055	1986190.00000000	79736.00000000	279825.00000000	42337.00000000	0.00000000	0.00000000	237522.00000000	314.00000000	CoN7006-00043
21:13:53	44.00000000	782.80182203	1984672.00000000	79815.00000000	274854.00000000	41977.00000000	0.00000000	0.00000000	242022.00000000	313.00000000	CoN7006-00044
21:14:29	45.00000000	782.99880508	1986823.00000000	79904.00000000	274888.00000000	40952.00000000	0.00000000	0.00000000	220332.00000000	314.00000000	CoN7006-00045
21:15:05	46.00000000	783.20505634	1985765.00000000	79785.00000000	274001.00000000	36373.00000000	0.00000000	0.00000000	223038.00000000	314.00000000	CoN7006-00046
21:15:43	47.00000000	783.41141629	1988093.00000000	79917.00000000	266243.00000000	40272.00000000	0.00000000	0.00000000	221976.00000000	313.00000000	CoN7006-00047
21:16:19	48.00000000	783.60411705	1984714.00000000	79660.00000000	263595.00000000	39509.00000000	0.00000000	0.00000000	234384.00000000	313.00000000	CoN7006-00048
21:16:56	49.00000000	783.80609575	1985386.00000000	79450.00000000	264345.00000000	35143.00000000	0.00000000	0.00000000	215323.00000000	314.00000000	CoN7006-00049
21:17:33	50.00000000	784.00817861	1987274.00000000	79365.00000000	256946.00000000	38593.00000000	0.00000000	0.00000000	229278.00000000	314.00000000	CoN7006-00050
21:18:10	51.00000000	784.19657691	1986152.00000000	79392.00000000	251635.00000000	39146.00000000	0.00000000	0.00000000	220104.00000000	313.00000000	CoN7006-00051
21:18:47	52.00000000	784.40805843	1984347.00000000	79266.00000000	248537.00000000	38127.00000000	0.00000000	0.00000000	212086.00000000	314.00000000	CoN7006-00052
21:19:23	53.00000000	784.60585086	1988027.00000000	79541.00000000	244737.00000000	35108.00000000	0.00000000	0.00000000	215761.00000000	314.00000000	CoN7006-00053
21:19:59	54.00000000	784.80374307	1988082.00000000	79546.00000000	239936.00000000	36448.00000000	0.00000000	0.00000000	221028.00000000	314.00000000	CoN7006-00054
21:20:36	55.00000000	785.00173514	1988197.00000000	79396.00000000	237206.00000000	36466.00000000	0.00000000	0.00000000	263937.00000000	313.00000000	CoN7006-00055
21:21:14	56.00000000	785.50406991	1990760.00000000	79481.00000000	234915.00000000	32049.00000000	0.00000000	0.00000000	266835.00000000	313.00000000	CoN7006-00056
21:21:50	57.00000000	786.00704804	1993208.00000000	79466.00000000	247462.00000000	35553.00000000	0.00000000	0.00000000	162762.00000000	314.00000000	CoN7006-00057
21:22:26	58.00000000	786.50142418	1990844.00000000	79316.00000000	236391.00000000	35279.00000000	0.00000000	0.00000000	221490.00000000	313.00000000	CoN7006-00058
21:23:04	59.00000000	787.01031010	1996836.00000000	79722.00000000	226541.00000000	35282.00000000	0.00000000	0.00000000	223629.00000000	313.00000000	CoN7006-00059
