
Andor
Scan Type: One Motor From File
C:\Beamline Controls\BCS Setup Data\Scan Files\Zakaria\CoL3sfine.txt
X Motor: BL 8 Energy
Delay After Move (s): 0.10000000
Stay at End: 0
Curvature: 0.0
Clip to ROI: No
ROI: 1309 526 2539 1627
Background ROI: None
Data File Path: C:\Beamline Controls\BCS Setup Data\240607\CCD Scan 7013
Time	Frame #	BL 8 Energy	Izero	Izero 2	TFY	TEY	Beam Current	Total Flux	Counts	Background	Filename
04:41:41	1.00000000	773.96290866	3957403.00000000	152857.00000000	498526.00000000	39444.00000000	0.00000000	0.00000000	349659.00000000	314.00000000	CoN7013-00001
04:42:48	2.00000000	774.34364079	3957962.00000000	152917.00000000	499884.00000000	34826.00000000	0.00000000	0.00000000	327339.00000000	314.00000000	CoN7013-00002
04:43:55	3.00000000	774.60364957	3952255.00000000	152907.00000000	497257.00000000	34389.00000000	0.00000000	0.00000000	334914.00000000	315.00000000	CoN7013-00003
04:45:03	4.00000000	775.05684054	3945321.00000000	152640.00000000	489613.00000000	34035.00000000	0.00000000	0.00000000	275116.00000000	316.00000000	CoN7013-00004
04:46:10	5.00000000	775.15113497	3945891.00000000	152670.00000000	488179.00000000	34163.00000000	0.00000000	0.00000000	281040.00000000	316.00000000	CoN7013-00005
04:47:18	6.00000000	775.30385080	3949784.00000000	152730.00000000	491857.00000000	34137.00000000	0.00000000	0.00000000	341465.00000000	314.00000000	CoN7013-00006
04:48:25	7.00000000	775.46112114	3943528.00000000	152531.00000000	495219.00000000	34410.00000000	0.00000000	0.00000000	273360.00000000	315.00000000	CoN7013-00007
04:49:33	8.00000000	775.60946307	3947417.00000000	152215.00000000	494822.00000000	34079.00000000	0.00000000	0.00000000	327363.00000000	315.00000000	CoN7013-00008
04:50:40	9.00000000	775.75336400	3940989.00000000	152612.00000000	494129.00000000	33579.00000000	0.00000000	0.00000000	317141.00000000	314.00000000	CoN7013-00009
04:51:48	10.00000000	775.91981603	3939732.00000000	152347.00000000	492834.00000000	33128.00000000	0.00000000	0.00000000	345052.00000000	314.00000000	CoN7013-00010
04:52:55	11.00000000	776.05933085	3940814.00000000	152122.00000000	495273.00000000	33181.00000000	0.00000000	0.00000000	346162.00000000	314.00000000	CoN7013-00011
04:54:02	12.00000000	776.20790177	3941730.00000000	152178.00000000	497244.00000000	33277.00000000	0.00000000	0.00000000	285856.00000000	316.00000000	CoN7013-00012
04:55:10	13.00000000	776.35652959	3935710.00000000	152389.00000000	501122.00000000	32944.00000000	0.00000000	0.00000000	295619.00000000	315.00000000	CoN7013-00013
04:56:16	14.00000000	776.50521435	3941530.00000000	153247.00000000	506053.00000000	33107.00000000	0.00000000	0.00000000	288156.00000000	315.00000000	CoN7013-00014
04:57:23	15.00000000	776.65846429	3939261.00000000	153009.00000000	506319.00000000	33110.00000000	0.00000000	0.00000000	274421.00000000	315.00000000	CoN7013-00015
04:58:30	16.00000000	776.81177473	3939819.00000000	152977.00000000	503153.00000000	33223.00000000	0.00000000	0.00000000	355007.00000000	315.00000000	CoN7013-00016
04:59:37	17.00000000	776.95612222	3937636.00000000	153100.00000000	505631.00000000	33302.00000000	0.00000000	0.00000000	352620.00000000	314.00000000	CoN7013-00017
05:00:45	18.00000000	777.10052337	3941424.00000000	153495.00000000	505696.00000000	33210.00000000	0.00000000	0.00000000	338142.00000000	315.00000000	CoN7013-00018
05:01:51	19.00000000	777.25852360	3935965.00000000	153960.00000000	507966.00000000	33086.00000000	0.00000000	0.00000000	346789.00000000	314.00000000	CoN7013-00019
05:02:58	20.00000000	777.40303719	3942450.00000000	154633.00000000	511057.00000000	33095.00000000	0.00000000	0.00000000	277571.00000000	316.00000000	CoN7013-00020
05:04:05	21.00000000	777.56116049	3935322.00000000	154122.00000000	510508.00000000	33053.00000000	0.00000000	0.00000000	268124.00000000	315.00000000	CoN7013-00021
05:05:12	22.00000000	777.70126628	3940825.00000000	154809.00000000	517340.00000000	33314.00000000	0.00000000	0.00000000	336017.00000000	314.00000000	CoN7013-00022
05:06:20	23.00000000	777.85951093	3938707.00000000	154277.00000000	516994.00000000	34210.00000000	0.00000000	0.00000000	272465.00000000	315.00000000	CoN7013-00023
05:07:27	24.00000000	778.00877204	3934428.00000000	154638.00000000	525763.00000000	34113.00000000	0.00000000	0.00000000	347340.00000000	315.00000000	CoN7013-00024
05:08:34	25.00000000	778.15809044	3931428.00000000	154761.00000000	534670.00000000	34657.00000000	0.00000000	0.00000000	349735.00000000	315.00000000	CoN7013-00025
05:09:41	26.00000000	778.30293879	3939243.00000000	155344.00000000	550320.00000000	36243.00000000	0.00000000	0.00000000	367339.00000000	315.00000000	CoN7013-00026
05:10:47	27.00000000	778.45689927	3938950.00000000	156503.00000000	571140.00000000	40463.00000000	0.00000000	0.00000000	301178.00000000	315.00000000	CoN7013-00027
05:11:54	28.00000000	778.61092068	3936475.00000000	156039.00000000	592958.00000000	46212.00000000	0.00000000	0.00000000	355335.00000000	314.00000000	CoN7013-00028
05:13:01	29.00000000	778.75140509	3940213.00000000	155861.00000000	613031.00000000	50651.00000000	0.00000000	0.00000000	368261.00000000	314.00000000	CoN7013-00029
05:14:09	30.00000000	778.91461192	3936869.00000000	155323.00000000	626741.00000000	49057.00000000	0.00000000	0.00000000	358086.00000000	314.00000000	CoN7013-00030
05:15:16	31.00000000	779.05520596	3940572.00000000	155718.00000000	621425.00000000	48334.00000000	0.00000000	0.00000000	371965.00000000	314.00000000	CoN7013-00031
05:16:23	32.00000000	779.20038855	3939771.00000000	156236.00000000	634022.00000000	47520.00000000	0.00000000	0.00000000	335973.00000000	315.00000000	CoN7013-00032
05:17:30	33.00000000	779.35924398	3944395.00000000	156779.00000000	658006.00000000	50074.00000000	0.00000000	0.00000000	349667.00000000	315.00000000	CoN7013-00033
05:18:38	34.00000000	779.50908130	3945064.00000000	156953.00000000	682151.00000000	56706.00000000	0.00000000	0.00000000	436201.00000000	314.00000000	CoN7013-00034
05:19:44	35.00000000	779.66351942	3943667.00000000	157035.00000000	706000.00000000	64061.00000000	0.00000000	0.00000000	363490.00000000	315.00000000	CoN7013-00035
05:20:49	36.00000000	779.80438399	3947674.00000000	157059.00000000	739799.00000000	67423.00000000	0.00000000	0.00000000	376708.00000000	316.00000000	CoN7013-00036
05:21:57	37.00000000	779.95893917	3947514.00000000	156459.00000000	764135.00000000	70357.00000000	0.00000000	0.00000000	457746.00000000	314.00000000	CoN7013-00037
05:23:04	38.00000000	780.10445884	3944758.00000000	156790.00000000	767444.00000000	70931.00000000	0.00000000	0.00000000	401572.00000000	315.00000000	CoN7013-00038
05:24:10	39.00000000	780.25458289	3945794.00000000	156193.00000000	773877.00000000	65978.00000000	0.00000000	0.00000000	391130.00000000	315.00000000	CoN7013-00039
05:25:17	40.00000000	780.40931661	3942368.00000000	156275.00000000	791307.00000000	66007.00000000	0.00000000	0.00000000	466452.00000000	314.00000000	CoN7013-00040
05:26:23	41.00000000	780.56411171	3936889.00000000	156138.00000000	797334.00000000	72099.00000000	0.00000000	0.00000000	411627.00000000	315.00000000	CoN7013-00041
05:27:30	42.00000000	780.70985733	3942818.00000000	156525.00000000	790947.00000000	70404.00000000	0.00000000	0.00000000	465080.00000000	314.00000000	CoN7013-00042
05:28:36	43.00000000	780.85565739	3945548.00000000	156849.00000000	778673.00000000	67916.00000000	0.00000000	0.00000000	462053.00000000	315.00000000	CoN7013-00043
05:29:43	44.00000000	781.00607075	3943561.00000000	156740.00000000	776789.00000000	68407.00000000	0.00000000	0.00000000	459679.00000000	315.00000000	CoN7013-00044
05:30:50	45.00000000	781.15654208	3946575.00000000	157079.00000000	784493.00000000	70767.00000000	0.00000000	0.00000000	470110.00000000	314.00000000	CoN7013-00045
05:31:56	46.00000000	781.30707140	3945327.00000000	156843.00000000	778532.00000000	70853.00000000	0.00000000	0.00000000	488852.00000000	314.00000000	CoN7013-00046
05:33:04	47.00000000	781.45309465	3947835.00000000	156564.00000000	758659.00000000	68836.00000000	0.00000000	0.00000000	460833.00000000	314.00000000	CoN7013-00047
05:34:10	48.00000000	781.61287009	3941388.00000000	155915.00000000	721026.00000000	61667.00000000	0.00000000	0.00000000	376417.00000000	315.00000000	CoN7013-00048
05:35:16	49.00000000	781.75900768	3941293.00000000	155900.00000000	685811.00000000	55753.00000000	0.00000000	0.00000000	421437.00000000	314.00000000	CoN7013-00049
05:36:23	50.00000000	781.90063060	3939748.00000000	155906.00000000	656997.00000000	53107.00000000	0.00000000	0.00000000	433765.00000000	314.00000000	CoN7013-00050
05:37:28	51.00000000	782.05601798	3935629.00000000	155947.00000000	634029.00000000	52031.00000000	0.00000000	0.00000000	399020.00000000	315.00000000	CoN7013-00051
05:38:36	52.00000000	782.21146714	3940838.00000000	155971.00000000	624380.00000000	49477.00000000	0.00000000	0.00000000	405094.00000000	314.00000000	CoN7013-00052
