SU
Andor
Scan Type: One Motor From File
C:\Beamline Controls\BCS Setup Data\ScanFiles\Zakaria Long Pickle RIXS\CoL3.txt
X Motor: BL 8 Energy
Delay After Move (s): 0.10000000
Stay at End: 0
Curvature: 0.0
Clip to ROI: No
ROI: 1309 526 2539 1627
Background ROI: None
Data File Path: C:\Beamline Controls\BCS Setup Data\240705\CCD Scan 17176
Time	Frame #	BL 8 Energy	Izero	Izero 2	TFY	TEY	Sample Current	Beam Current	Total Flux	Counts	Background	Filename
23:33:57	1.00000000	775.00296830	29882817.00000000	667670.00000000	9272027.00000000	228145.00000000	0.00000000	0.00000000	0.00000000	471805.00000000	334.00000000	cox17176-00001
23:39:03	2.00000000	775.51056214	30058955.00000000	671766.00000000	9310934.00000000	229098.00000000	0.00000000	0.00000000	0.00000000	487279.00000000	334.00000000	cox17176-00002
23:44:11	3.00000000	776.01432059	30027138.00000000	673477.00000000	9304658.00000000	229134.00000000	0.00000000	0.00000000	0.00000000	505798.00000000	335.00000000	cox17176-00003
23:49:17	4.00000000	776.50070791	29879874.00000000	669445.00000000	9340507.00000000	228987.00000000	0.00000000	0.00000000	0.00000000	482009.00000000	335.00000000	cox17176-00004
23:54:24	5.00000000	777.02831608	30011622.00000000	674593.00000000	9515508.00000000	230913.00000000	0.00000000	0.00000000	0.00000000	493076.00000000	335.00000000	cox17176-00005
23:59:31	6.00000000	777.51145766	30016008.00000000	677301.00000000	9837157.00000000	233587.00000000	0.00000000	0.00000000	0.00000000	567715.00000000	335.00000000	cox17176-00006
00:04:39	7.00000000	777.70126628	29774521.00000000	669210.00000000	9779426.00000000	233985.00000000	0.00000000	0.00000000	0.00000000	679827.00000000	334.00000000	cox17176-00007
00:09:45	8.00000000	777.90021283	29816203.00000000	673793.00000000	9900165.00000000	238369.00000000	0.00000000	0.00000000	0.00000000	713180.00000000	333.00000000	cox17176-00008
00:14:51	9.00000000	778.10378621	29817656.00000000	672471.00000000	10122561.00000000	246613.00000000	0.00000000	0.00000000	0.00000000	811551.00000000	335.00000000	cox17176-00009
00:19:58	10.00000000	778.30746617	29846422.00000000	674736.00000000	10364168.00000000	247384.00000000	0.00000000	0.00000000	0.00000000	1002278.00000000	335.00000000	cox17176-00010
00:25:05	11.00000000	778.49766371	29807188.00000000	671890.00000000	10315816.00000000	244336.00000000	0.00000000	0.00000000	0.00000000	1167655.00000000	333.00000000	cox17176-00011
00:30:12	12.00000000	778.70154998	29747662.00000000	673398.00000000	10455682.00000000	248346.00000000	0.00000000	0.00000000	0.00000000	1261008.00000000	334.00000000	cox17176-00012
00:35:21	13.00000000	778.90554308	29796667.00000000	672290.00000000	10707477.00000000	277490.00000000	0.00000000	0.00000000	0.00000000	1402738.00000000	334.00000000	cox17176-00013
00:40:29	14.00000000	779.10964309	29690703.00000000	674279.00000000	11038826.00000000	283816.00000000	0.00000000	0.00000000	0.00000000	1522954.00000000	335.00000000	cox17176-00014
00:45:36	15.00000000	779.31385010	29736889.00000000	675990.00000000	11543700.00000000	290491.00000000	0.00000000	0.00000000	0.00000000	1759818.00000000	334.00000000	cox17176-00015
00:50:42	16.00000000	779.50453993	29690703.00000000	672845.00000000	11803899.00000000	287968.00000000	0.00000000	0.00000000	0.00000000	1878308.00000000	334.00000000	cox17176-00016
00:55:49	17.00000000	779.69986669	29674570.00000000	673308.00000000	11767780.00000000	285322.00000000	0.00000000	0.00000000	0.00000000	1897653.00000000	335.00000000	cox17176-00017
01:00:56	18.00000000	779.90438329	29715963.00000000	673506.00000000	11913642.00000000	282919.00000000	0.00000000	0.00000000	0.00000000	2030236.00000000	334.00000000	cox17176-00018
01:06:03	19.00000000	780.10445884	29616393.00000000	673994.00000000	11886841.00000000	279203.00000000	0.00000000	0.00000000	0.00000000	1992519.00000000	334.00000000	cox17176-00019
01:11:10	20.00000000	780.30463708	29604732.00000000	674541.00000000	11686915.00000000	275914.00000000	0.00000000	0.00000000	0.00000000	1928189.00000000	334.00000000	cox17176-00020
01:16:17	21.00000000	780.50036511	29602666.00000000	673483.00000000	11596278.00000000	276489.00000000	0.00000000	0.00000000	0.00000000	1962920.00000000	333.00000000	cox17176-00021
01:21:25	22.00000000	780.69619136	29656296.00000000	671974.00000000	11574966.00000000	281810.00000000	0.00000000	0.00000000	0.00000000	1895696.00000000	335.00000000	cox17176-00022
01:26:31	23.00000000	780.90578874	29633578.00000000	672816.00000000	11301333.00000000	281485.00000000	0.00000000	0.00000000	0.00000000	1763711.00000000	335.00000000	cox17176-00023
01:31:37	24.00000000	781.10637853	29613268.00000000	671796.00000000	10805301.00000000	271054.00000000	0.00000000	0.00000000	0.00000000	1647471.00000000	334.00000000	cox17176-00024
01:36:45	25.00000000	781.30707140	29754955.00000000	671242.00000000	10379267.00000000	265792.00000000	0.00000000	0.00000000	0.00000000	1545524.00000000	334.00000000	cox17176-00025
01:41:51	26.00000000	781.50330275	29770728.00000000	669752.00000000	9990051.00000000	260946.00000000	0.00000000	0.00000000	0.00000000	1461535.00000000	335.00000000	cox17176-00026
01:46:57	27.00000000	781.69963269	29682889.00000000	668466.00000000	9589741.00000000	256776.00000000	0.00000000	0.00000000	0.00000000	1385559.00000000	333.00000000	cox17176-00027
01:52:03	28.00000000	781.90976933	30005648.00000000	674956.00000000	9379070.00000000	255515.00000000	0.00000000	0.00000000	0.00000000	1275598.00000000	335.00000000	cox17176-00028
01:57:11	29.00000000	782.11544713	30087411.00000000	676836.00000000	9169460.00000000	253239.00000000	0.00000000	0.00000000	0.00000000	1272362.00000000	334.00000000	cox17176-00029
02:02:19	30.00000000	782.30751073	30133832.00000000	678335.00000000	8976769.00000000	252395.00000000	0.00000000	0.00000000	0.00000000	1221228.00000000	334.00000000	cox17176-00030
02:07:26	31.00000000	782.50882143	30288969.00000000	681821.00000000	8846128.00000000	252987.00000000	0.00000000	0.00000000	0.00000000	1141971.00000000	335.00000000	cox17176-00031
02:12:33	32.00000000	782.92091621	30486500.00000000	690740.00000000	8650197.00000000	252241.00000000	0.00000000	0.00000000	0.00000000	1105284.00000000	334.00000000	cox17176-00032
02:17:40	33.00000000	783.31051561	30511237.00000000	692843.00000000	8399197.00000000	251358.00000000	0.00000000	0.00000000	0.00000000	1014092.00000000	335.00000000	cox17176-00033
02:22:46	34.00000000	783.70050299	30609844.00000000	698355.00000000	8097426.00000000	248927.00000000	0.00000000	0.00000000	0.00000000	947897.00000000	335.00000000	cox17176-00034
02:27:54	35.00000000	784.10925912	30646134.00000000	701071.00000000	7865399.00000000	246040.00000000	0.00000000	0.00000000	0.00000000	879633.00000000	335.00000000	cox17176-00035
02:33:00	36.00000000	784.50004250	30641868.00000000	702833.00000000	7723905.00000000	244428.00000000	0.00000000	0.00000000	0.00000000	851328.00000000	333.00000000	cox17176-00036
02:38:07	37.00000000	784.90502886	30697206.00000000	706785.00000000	7663879.00000000	244556.00000000	0.00000000	0.00000000	0.00000000	783109.00000000	333.00000000	cox17176-00037
02:43:14	38.00000000	785.61014931	30610159.00000000	705738.00000000	8389498.00000000	244142.00000000	0.00000000	0.00000000	0.00000000	697864.00000000	334.00000000	cox17176-00038
02:48:22	39.00000000	785.80393348	30638583.00000000	706756.00000000	8206350.00000000	243972.00000000	0.00000000	0.00000000	0.00000000	681130.00000000	334.00000000	cox17176-00039
02:53:28	40.00000000	786.00243064	30647490.00000000	707359.00000000	7844806.00000000	243732.00000000	0.00000000	0.00000000	0.00000000	731827.00000000	334.00000000	cox17176-00040
02:58:35	41.00000000	786.20564785	30714564.00000000	709550.00000000	7550712.00000000	244147.00000000	0.00000000	0.00000000	0.00000000	682292.00000000	334.00000000	cox17176-00041
03:03:42	42.00000000	786.40897017	30835389.00000000	713617.00000000	7384642.00000000	244980.00000000	0.00000000	0.00000000	0.00000000	662924.00000000	334.00000000	cox17176-00042
03:08:49	43.00000000	786.61702227	30876044.00000000	715010.00000000	7275425.00000000	245250.00000000	0.00000000	0.00000000	0.00000000	679054.00000000	335.00000000	cox17176-00043
03:13:57	44.00000000	786.80667673	30825621.00000000	712758.00000000	7205519.00000000	244939.00000000	0.00000000	0.00000000	0.00000000	702004.00000000	333.00000000	cox17176-00044
03:19:04	45.00000000	787.00568090	30855369.00000000	712609.00000000	7159777.00000000	244468.00000000	0.00000000	0.00000000	0.00000000	696613.00000000	334.50000000	cox17176-00045
03:24:11	46.00000000	787.20478578	30893446.00000000	713257.00000000	7148250.00000000	244815.00000000	0.00000000	0.00000000	0.00000000	690787.00000000	333.50000000	cox17176-00046
03:29:19	47.00000000	787.71922020	31016622.00000000	716322.00000000	7145782.00000000	245792.00000000	0.00000000	0.00000000	0.00000000	637647.00000000	334.00000000	cox17176-00047
03:34:26	48.00000000	788.20646661	31075210.00000000	718157.00000000	7108837.00000000	246049.00000000	0.00000000	0.00000000	0.00000000	683560.00000000	333.00000000	cox17176-00048
