SU
Andor
Scan Type: One Motor From File
C:\Beamline Controls\BCS Setup Data\ScanFiles\Zakaria Long Pickle RIXS\CoL3.txt
X Motor: BL 8 Energy
Delay After Move (s): 0.10000000
Stay at End: 0
Curvature: 0.0
Clip to ROI: No
ROI: 1309 526 2539 1627
Background ROI: None
Data File Path: C:\Beamline Controls\BCS Setup Data\240705\CCD Scan 17175
Time	Frame #	BL 8 Energy	Izero	Izero 2	TFY	TEY	Sample Current	Beam Current	Total Flux	Counts	Background	Filename
19:26:39	1.00000000	774.99399033	29462406.00000000	655039.00000000	9904701.00000000	230209.00000000	0.00000000	0.00000000	0.00000000	564628.00000000	333.50000000	cox17175-00001
19:31:45	2.00000000	775.51056214	29673934.00000000	661350.00000000	9714303.00000000	231509.00000000	0.00000000	0.00000000	0.00000000	542613.00000000	336.00000000	cox17175-00002
19:36:52	3.00000000	776.02332222	29747316.00000000	667195.00000000	9613876.00000000	232639.00000000	0.00000000	0.00000000	0.00000000	582157.00000000	334.00000000	cox17175-00003
19:41:59	4.00000000	776.50070791	29687145.00000000	669515.00000000	9539115.00000000	233529.00000000	0.00000000	0.00000000	0.00000000	574188.00000000	335.00000000	cox17175-00004
19:47:06	5.00000000	777.01026636	29632566.00000000	669458.00000000	9515366.00000000	234618.00000000	0.00000000	0.00000000	0.00000000	590300.00000000	335.00000000	cox17175-00005
19:52:13	6.00000000	777.51145766	29646737.00000000	672624.00000000	9707955.00000000	238147.00000000	0.00000000	0.00000000	0.00000000	618765.00000000	334.00000000	cox17175-00006
19:57:19	7.00000000	777.70578666	29438898.00000000	660858.00000000	9607971.00000000	238100.00000000	0.00000000	0.00000000	0.00000000	656605.00000000	336.00000000	cox17175-00007
20:02:27	8.00000000	777.90473552	29716256.00000000	665523.00000000	9753324.00000000	242717.00000000	0.00000000	0.00000000	0.00000000	718915.00000000	335.00000000	cox17175-00008
20:07:35	9.00000000	778.10378621	29633175.00000000	659544.00000000	9880321.00000000	247734.00000000	0.00000000	0.00000000	0.00000000	751734.00000000	335.00000000	cox17175-00009
20:12:41	10.00000000	778.31199361	29797540.00000000	665806.00000000	10179866.00000000	259345.00000000	0.00000000	0.00000000	0.00000000	854513.00000000	335.00000000	cox17175-00010
